model,MSE,MAE,R2
LinearRegression,10549721686.161531,82657.94605892818,0.9146454505137886
RidgeRegression,10549745186.670174,82659.67244409773,0.91464526037841
LassoRegression,10549717660.356379,82657.94662172231,0.9146454830853384
ElesticNetRegression,15081376466.559593,99126.80843102593,0.8779812271613102
SGDRegression,4.886505429090536e+35,6.602882385052628e+17,-3.9535210678501134e+24
HuberReression,61664910393.24931,199465.5595542927,0.5010881990728191
PolynomialRegression,10664698491.527433,83413.36433693883,0.9137152085874786
SVR,123546565157.52672,282947.68758691323,0.0004227861838135283
KNeighborsRegression,60395811313.31432,198086.23684543537,0.5113560889227768
RandomForestRegression,14975027653.785723,98158.60036349478,0.8788416626564584
MLPRegression,61507630796.49525,199424.56555895752,0.5023606998575485
xgboostRegression,16138680641.877495,101565.19208841266,0.8694269046645823
lightgbmRegression,13097708114.507051,92133.9888284538,0.8940304769478327
